F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.903	0.917	0.963	0.889	0.973	255	23	823	32	*
0.915	0.931	0.959	0.9	0.973	27	2	71	3	Congestion or runny nose
0.961	1.0	0.955	0.925	1.0	37	0	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.816	0.741	0.974	0.909	0.914	20	7	74	2	Dyspnea
0.828	0.923	0.896	0.75	0.972	24	2	69	8	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.958	1.0	0.975	0.92	1.0	23	0	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.741	0.667	0.977	0.833	0.945	10	5	86	2	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
