F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.512	0.791	0.578	0.379	0.895	220	58	494	361	*
0.524	0.379	0.973	0.846	0.8	11	18	72	2	Congestion or runny nose
0.638	1.0	0.364	0.468	1.0	37	0	24	42	Cough
0.405	0.882	0.512	0.263	0.957	15	2	44	42	Diarrhea
0.444	0.741	0.434	0.317	0.825	20	7	33	43	Dyspnea
0.453	0.923	0.273	0.3	0.913	24	2	21	56	Fatigue
0.646	0.976	0.279	0.482	0.944	41	1	17	44	Fever or chills
0.5	1.0	0.425	0.333	1.0	23	0	34	46	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0	0	0	0	0	0	15	87	1	Muscle or body aches
0.544	0.848	0.4	0.4	0.848	28	5	28	42	Nausea or vomiting
0.476	0.952	0.476	0.317	0.975	20	1	39	43	Sore throat
