F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.639	0.795	0.774	0.534	0.921	221	57	662	193	*
0.622	0.483	0.973	0.875	0.828	14	15	72	2	Congestion or runny nose
0.809	0.973	0.758	0.692	0.98	36	1	50	16	Cough
0.508	0.882	0.686	0.357	0.967	15	2	59	27	Diarrhea
0.576	0.704	0.737	0.487	0.875	19	8	56	20	Dyspnea
0.649	0.962	0.662	0.49	0.981	25	1	51	26	Fatigue
0.766	0.976	0.607	0.631	0.974	41	1	37	24	Fever or chills
0.563	0.87	0.65	0.417	0.945	20	3	52	28	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.69	0.909	0.657	0.556	0.939	30	3	46	24	Nausea or vomiting
0.576	0.905	0.683	0.422	0.966	19	2	56	26	Sore throat
