F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.89	0.888	0.965	0.892	0.964	247	31	825	30	*
0.915	0.931	0.959	0.9	0.973	27	2	71	3	Congestion or runny nose
0.921	0.946	0.939	0.897	0.969	35	2	62	4	Cough
0.848	0.824	0.977	0.875	0.966	14	3	84	2	Diarrhea
0.857	0.778	0.987	0.955	0.926	21	6	75	1	Dyspnea
0.821	0.885	0.909	0.767	0.959	23	3	70	7	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.64	0.533	0.977	0.8	0.925	8	7	86	2	Muscle or body aches
0.939	0.939	0.971	0.939	0.971	31	2	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
