F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.901	0.896	0.97	0.905	0.966	249	29	829	26	*
0.931	0.931	0.973	0.931	0.973	27	2	72	2	Congestion or runny nose
0.907	0.919	0.939	0.895	0.954	34	3	62	4	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.88	0.815	0.987	0.957	0.938	22	5	75	1	Dyspnea
0.842	0.923	0.909	0.774	0.972	24	2	70	7	Fatigue
0.955	1.0	0.934	0.913	1.0	42	0	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
1.0	1.0	1.0	1.0	1.0	8	0	95	0	Loss of taste or smell
0.583	0.467	0.977	0.778	0.915	7	8	86	2	Muscle or body aches
0.906	0.879	0.971	0.935	0.944	29	4	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
