F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.814	0.817	0.938	0.811	0.94	227	51	802	53	*
0.808	0.724	0.973	0.913	0.9	21	8	72	2	Congestion or runny nose
0.88	0.892	0.924	0.868	0.938	33	4	61	5	Cough
0.842	0.941	0.942	0.762	0.988	16	1	81	5	Diarrhea
0.76	0.704	0.947	0.826	0.9	19	8	72	4	Dyspnea
0.696	0.923	0.753	0.558	0.967	24	2	58	19	Fatigue
0.897	0.929	0.902	0.867	0.948	39	3	55	6	Fever or chills
0.87	0.87	0.963	0.87	0.963	20	3	77	3	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.571	0.533	0.943	0.615	0.922	8	7	83	5	Muscle or body aches
0.814	0.727	0.971	0.923	0.883	24	9	68	2	Nausea or vomiting
0.842	0.762	0.988	0.941	0.942	16	5	81	1	Sore throat
