F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.798	0.755	0.956	0.847	0.923	210	68	817	38	*
0.512	0.379	0.959	0.786	0.798	11	18	71	3	Congestion or runny nose
0.907	0.919	0.939	0.895	0.954	34	3	62	4	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.739	0.63	0.974	0.895	0.881	17	10	74	2	Dyspnea
0.759	0.846	0.87	0.688	0.944	22	4	67	10	Fatigue
0.874	0.905	0.885	0.844	0.931	38	4	54	7	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.364	0.25	0.989	0.667	0.94	2	6	94	1	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.909	0.909	0.957	0.909	0.957	30	3	67	3	Nausea or vomiting
0.905	0.905	0.976	0.905	0.976	19	2	80	2	Sore throat
